Nr,Code,Label,Type,Format,Valid,Invalid,Question
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  7  - Variables List Dataset contains 385 variable(s) File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 1 iv5_id -,continuous,numeric-12.0,22837,0,-
2,DoB,Date of Birth,discrete,character-11,2283,7,-
3,DoD,Date of Death,discrete,character-11,2283,7,-
4,Intervie,.. Interview Date,discrete,character-11,2282,7,-
5,DeathSet,.. Place of death,discrete,numeric-12.0,21385,1452,-
6,sv_refer,.. Was the child referred to another place for care?,discrete,numeric-12.0,72,22765,-
7,sv_reach,.. Did they reach the place they were referred to?,discrete,numeric-12.0,22,22815,-
8,sb_minut,.. How many minutes after birth did the baby first cry?,continuous,numeric-12.0,23,22814,-
9,ap_menta,.. For how many months did (s)he have mental confusion?,continuous,numeric-12.0,558,22279,-
10,md_preg_,.. Was she pregnant at the time of death?,discrete,numeric-12.0,1514,21323,-
11,md_die_d,".. Did she die within 6 weeks of delivery, abortion or miscarriage?",discrete,numeric-12.0,1505,21332,-
12,md_die_d,.. Did this woman die more than 42 days after being pregnant or delivering a baby?,discrete,numeric-12.0,1494,21343,-
13,hs_care_,.. Was care sought outside the home while (s)he had this illness?,discrete,numeric-12.0,2991,19846,-
14,hs_care_,.. Where or from whom did you seek care?,continuous,numeric-12.0,2203,20634,-
15,vb_age_d,.. Please indicate the Age at death.,continuous,numeric-10.0,3401,19436,-
16,ih_age_f,.. How old was the baby when the fatal illness started? (In Days),continuous,numeric-10.0,26,22811,-
17,bd_breat,.. During the illness that led to death did his/her breathing sound like any of the,discrete,numeric-12.0,3004,19833,-
18,on_narra,.. Are there any of the following words of interest mentioned in the above narrative,discrete,numeric-12.0,3404,19433,-
19,ap_stops,.. Did the baby stop suckling?,discrete,numeric-12.0,3,22834,-
20,ap_stops,.. How many days after birth did the baby stop suckling?,discrete,numeric-12.0,1,22836,-
21,md_birth,.. Was the baby born more than one month early?,discrete,numeric-12.0,164,22673,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  8  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 22 nd_baby_ .. What was the weight (in grammes) of the deceased at birth?,continuous,numeric-12.0,115,22722,-
23,hs_biolo,.. Has the deceased's (biological) mother ever been tested for HIV?,discrete,numeric-12.0,116,22721,-
24,hs_biolo,.. Has the deceased's (biological) mother ever been told she had HIV/AIDS by a healt,discrete,numeric-12.0,116,22721,-
25,mh_ever_,.. Was the HIV test ever positive?,discrete,numeric-12.0,2987,19850,-
26,md_die_d,.. Did she die within 6 weeks of childbirth?,discrete,numeric-12.0,126,22711,-
27,hs_child,.. Do you have the child's vaccination card?,discrete,numeric-12.0,97,22740,-
28,hs_child,.. Can I see the vaccination card (note the vaccines the child received)?,discrete,numeric-12.0,75,22762,-
29,hs_vacc_,.. Note vaccines here,discrete,character-13,2,5,-
30,hs_immun,.. Had (s)he received immunization?,discrete,numeric-12.0,109,22728,-
31,sb_ever_,.. Did the baby ever move?,discrete,numeric-12.0,33,22804,-
32,hs_art,Did (s)he receive (or need) antiretroviral therapy (ART)?,discrete,numeric-12.0,2185,20652,-
33,i004a,Did s(he) die during the wet season?,discrete,numeric-12.0,22836,1,-
34,i004b,Did s(he) die during the dry season?,discrete,numeric-12.0,22836,1,-
35,i019a,Was he male?,discrete,numeric-12.0,22837,0,-
36,i019b,Was she female?,discrete,numeric-12.0,22837,0,-
37,i022a,Was s(he) aged 65 years or more at death?,discrete,numeric-12.0,22836,1,-
38,i022b,Was s(he) aged 50 to 64 years at death?,discrete,numeric-12.0,22836,1,-
39,i022c,Was s(he) aged 15 to 49 years at death?,discrete,numeric-12.0,22836,1,-
40,i022d,Was s(he) aged 5-14 years at death?,discrete,numeric-12.0,22836,1,-
41,i022e,Was s(he) aged 1 to 4 years at death?,discrete,numeric-12.0,22836,1,-
42,i022f,Was s(he) aged 1 to 11 months at death?,discrete,numeric-12.0,19527,3310,-
43,i022g,Was s(he) aged < 1 month (28 days) at death?,discrete,numeric-12.0,19527,3310,-
44,i022h,Was s(he) a live baby who died within 24 hours of birth?,discrete,numeric-12.0,19527,3310,-
45,i022i,Was s(he) a baby who died between 24 and 48 hours of birth?,discrete,numeric-12.0,19527,3310,-
5,Verbal,"Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  9  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 46 i022j Was s(he) a baby who died more than 48 hours from birth, but within the first wee",discrete,numeric-12.0,19527,3310,-
47,i022k,"Was s(he) a baby who died after the first week, but within the first month?",discrete,numeric-12.0,19527,3310,-
48,i022l,Was she a woman aged 12-19 years at death?,discrete,numeric-12.0,21131,1706,-
49,i022m,Was she a woman aged 20-34 years at death?,discrete,numeric-12.0,21131,1706,-
50,i022n,Was she a woman aged 35 to 49 years at death?,discrete,numeric-12.0,21131,1706,-
51,i059o,Was she married at the time of death?,discrete,numeric-12.0,6739,16098,-
52,i077o,Did (s)he suffer from any injury or accident that led to her/his death?,discrete,numeric-12.0,21674,1163,-
53,i079o,Was (s)he injured in a road traffic accident?,discrete,numeric-12.0,15932,6905,-
54,i082o,Was (s)he injured in a non- road transport accident?,discrete,numeric-12.0,321,22516,-
55,i083o,Was (s)he injured in a fall?,discrete,numeric-12.0,15927,6910,-
56,i084o,Was (s)he poisoned in any way?,discrete,numeric-12.0,15692,7145,-
57,i085o,Did (s)he die of drowning?,discrete,numeric-12.0,15931,6906,-
58,i086o,Was (s)he injured by the bite or sting of a venomous animal?,discrete,numeric-12.0,15697,7140,-
59,i087o,Was (s)he injured by an animal or insect (non- venomous),discrete,numeric-12.0,448,22389,-
60,i089o,Was (s)he injured by burns or fire?,discrete,numeric-12.0,15696,7141,-
61,i090o,"Was (s)he subject to violence (suicide, homicide, abuse)?",discrete,numeric-12.0,15925,6912,-
62,i091o,Was (s)he injured by a fire arm?,discrete,numeric-12.0,445,22392,-
63,i092o,"Was (s)he stabbed, cut or pierced?",discrete,numeric-12.0,446,22391,-
64,i093o,Was (s)he strangled?,discrete,numeric-12.0,434,22403,-
65,i094o,Was (s)he injured by a blunt force?,discrete,numeric-12.0,435,22402,-
66,i095o,Was (s)he injured by a force of nature?,discrete,numeric-12.0,447,22390,-
67,i096o,Was (s)he electrocuted?,discrete,numeric-12.0,448,22389,-
68,i098o,Was the injury accidental?,discrete,numeric-12.0,402,22435,-
69,i099o,Was the injury or accident self-inflicted?,discrete,numeric-12.0,18955,3882,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  10  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 70 i100o Was the injury or accident intentionally inflicted by someone else?,discrete,numeric-12.0,15674,7163,-
71,i104o,Did the baby ever cry?,discrete,numeric-12.0,194,22643,-
72,i105o,"Did the baby cry immediately after birth, even if only a little bit?",discrete,numeric-12.0,23,22814,-
73,i106a,Was it more than 5 minutes after birth before the baby first cried?,discrete,numeric-12.0,4,22833,-
74,i107o,Did the baby stop being able to cry?,discrete,numeric-12.0,23,22814,-
75,i108a,Did the baby stop crying more than a day before (s)he died?,discrete,numeric-12.0,0,22837,-
76,i109o,Did the baby ever move?,discrete,numeric-12.0,33,22804,-
77,i110o,Did the baby ever breathe?,discrete,numeric-12.0,33,22804,-
78,i111o,"Did the baby breathe immediately after birth, even a little?",discrete,numeric-12.0,182,22655,-
79,i112o,Did the baby have a breathing problem?,discrete,numeric-12.0,26,22811,-
80,i113o,Was the baby given assistance to breathe at birth?,discrete,numeric-12.0,180,22657,-
81,i114o,"If the baby didn't show any sign of life, was it born dead?",discrete,numeric-12.0,168,22669,-
82,i115o,Were there any bruises or signs of injury on child's body after the birth?,discrete,numeric-12.0,32,22805,-
83,i116o,"Was the baby's body soft, pulpy and discoloured with the skin peeling away?",discrete,numeric-12.0,7,22830,-
84,i120a,Did the final illness last less than 3 weeks?,discrete,numeric-12.0,21039,1798,-
85,i120b,Did the final illness last at least 3 weeks?,discrete,numeric-12.0,21030,1807,-
86,i123o,Did (s)he die suddenly?,discrete,numeric-12.0,20829,2008,-
87,i125o,Was there any diagnosis by a health professional of tuberculosis?,discrete,numeric-12.0,19215,3622,-
88,i127o,Was there any diagnosis by a health professional of HIV/ AIDS?,discrete,numeric-12.0,21126,1711,-
89,i128o,Did (s)he have a recent positive test by a health professional for malaria?,discrete,numeric-12.0,20796,2041,-
90,i129o,Did (s)he have a recent negative test by a health professional for malaria?,discrete,numeric-12.0,2906,19931,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  11  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 91 i130o Was there any diagnosis by a health professional of dengue fever?,discrete,numeric-12.0,2922,19915,-
92,i131o,Was there any diagnosis by a health professional of measles?,discrete,numeric-12.0,4281,18556,-
93,i132o,Was there any diagnosis by a health professional of high blood pressure?,discrete,numeric-12.0,21291,1546,-
94,i133o,Was there any diagnosis by a health professional of heart disease?,discrete,numeric-12.0,20786,2051,-
95,i134o,Was there any diagnosis by a health professional of diabetes?,discrete,numeric-12.0,18741,4096,-
96,i135o,Was there any diagnosis by a health professional of asthma?,discrete,numeric-12.0,18585,4252,-
97,i136o,Was there any diagnosis by a health professional of epilepsy?,discrete,numeric-12.0,20888,1949,-
98,i137o,Was there any diagnosis by a health professional of cancer?,discrete,numeric-12.0,20858,1979,-
